Movie_ID,Title,Genre,Release_Year,Rating,Duration,Director,Country,Language,Budget,Revenue,Platform,Age_Rating,Added_Date,Status
2,The Batman,Action,2024,8.4,123,Director 9,UK,hindi,192.0,489099.0,Amazon Prime,A,2020-05-20,Upcoming
3,Jawan,Action,2020,8.0,126,Director 19,CANADA,,171.0,891296.0,Netflix,U/A,2023-02-28,Upcoming
4,Moana,Horror,2020,6.3,167,Director 21,USA,spanish,293.0,267473.0,Amazon Prime,A,2024-12-21,Released
5,Kgf,Sci-Fi,2024,7.440392156862746,120,Director 13,JAPAN,english,181.0,611405.0,Disney+ Hotstar,PG-13,2021-05-05,Released
6,Rrr,Sci-Fi,2021,9.8,97,Director 17,INDIA,english,76.0,263811.0,Disney+ Hotstar,PG-13,2023-02-20,Upcoming
7,Moana,Action,2023,8.3,148,Director 25,JAPAN,,170.0,564003.0,Disney+ Hotstar,A,2024-03-17,Released
8,Pushpa,Sci-Fi,2019,5.8,179,Director 17,INDIA,spanish,29.0,471899.0,Amazon Prime,U/A,2024-04-02,Released
9,Titanic,Action,2024,8.2,150,Director 6,JAPAN,spanish,236.0,652773.0,Disney+ Hotstar,U/A,2023-05-23,Upcoming
10,Moana,Sci-Fi,2019,7.440392156862746,82,Director 19,CANADA,spanish,56.0,160234.0,Netflix,U,2020-06-28,Released
11,Rrr,Drama,2023,7.7,140,Director 8,INDIA,hindi,69.0,462433.0,Amazon Prime,PG-13,2020-12-28,Released
12,Inception,Comedy,2019,7.6,97,Director 14,UK,english,58.0,982876.0,Disney+ Hotstar,U,2024-11-02,Released
13,Titanic,Drama,2021,6.0,131,Director 2,UK,hindi,171.0,902803.0,Amazon Prime,A,2025-12-14,Upcoming
14,3 Idiots,Action,2022,5.3,120,Director 2,INDIA,spanish,291.0,620082.0,Netflix,U,2025-02-20,Released
15,Bahubali,Sci-Fi,2022,8.0,133,Director 22,INDIA,english,180.0,505134.0,Disney+ Hotstar,A,2020-06-15,Released
16,Moana,Comedy,2018,7.4,96,Director 12,USA,hindi,100.0,656720.0,Amazon Prime,U,2022-09-22,Released
17,3 Idiots,Action,2019,7.9,171,Director 11,CANADA,,155.0,357927.0,Netflix,U,2022-07-21,Released
18,Avatar,Romance,2019,7.6,134,Director 18,INDIA,english,171.0,252558.0,Netflix,A,2021-09-19,Upcoming
20,Interstellar,Thriller,2024,8.5,111,Director 9,UK,,39.0,327204.0,Amazon Prime,A,2021-04-10,Released
21,Frozen,Comedy,2024,8.1,131,Director 22,INDIA,english,153.0,371039.0,Netflix,PG-13,2022-12-12,Upcoming
