Movie_ID,Title,Genre,Release_Year,Rating,Duration,Director,Country,Language,Budget,Revenue,Platform,Age_Rating,Added_Date,Status
1,,Romance,2019,8.5,166 min,Director 24,USA,Spanish,$35M,"338,517",Disney+ Hotstar,U,18-04-2025,Upcoming
2,The Batman,Action,2024,8.4,123 min,Director 9,UK,Hindi,$192M,"489,099",Amazon Prime,A,20-05-2020,Upcoming
3,Jawan,Acton,2020,8.0,126 min,Director 19,Canada,,,"891,296",Netflix,U/A,28-02-2023,Upcoming
4,Moana,Horror,2020,6.3,167 min,Director 21,USA,Spanish,$293M,"267,473",Amazon Prime,A,21-12-2024,Released
5,KGF,Sci-Fi,2024,,120 min,Director 13,Japan,English,$181M,"611,405",Disney+ Hotstar,PG-13,05-05-2021,Released
6,RRR,Scifi,2021,9.8,97 min,Director 17,,English,$76M,"263,811",Disney+ Hotstar,PG-13,20-02-2023,Upcoming
7,Moana,Action,2023,8.3,148 min,Director 25,Japan,,$170M,"564,003",Disney+ Hotstar,A,17-03-2024,Released
8,Pushpa,Sci-Fi,2019,5.8,179 min,Director 17,India,Spanish,$29M,"471,899",Amazon Prime,U/A,02-04-2024,Released
9,Titanic,Acton,2024,8.2,150 min,Director 6,Japan,Spanish,$236M,"652,773",Disney+ Hotstar,U/A,23-05-2023,Upcoming
10,Moana,Sci-Fi,2019,,82 min,Director 19,Canada,Spanish,$56M,"160,234",Netflix,U,28-06-2020,Released
11,RRR,Drama,2023,7.7,140 min,Director 8,,HINDI,$69M,"462,433",Amazon Prime,PG-13,28-12-2020,Released
12,Inception,Comedy,2019,7.6,97 min,Director 14,UK,english,$58M,"982,876",Disney+ Hotstar,U,02-11-2024,Released
13,Titanic,Drama,2021,6.0,131 min,Director 2,UK,HINDI,,"902,803",Amazon Prime,A,14-12-2025,Upcoming
14,3 Idiots,Action,2022,5.3,120 min,Director 2,India,Spanish,$291M,"620,082",Netflix,U,20-02-2025,Released
15,Bahubali,Sci-Fi,2022,8.0,133 min,Director 22,india,english,$180M,"505,134",Disney+ Hotstar,A,15-06-2020,Released
16,Moana,Comedy,2018,7.4,96 min,Director 12,USA,Hindi,$100M,"656,720",Amazon Prime,U,22-09-2022,Released
17,3 Idiots,Acton,2019,7.9,171 min,Director 11,Canada,,$155M,"357,927",Netflix,U,21-07-2022,Released
18, Avatar ,Romance,2019,7.6,134 min,Director 18,India,English,,"252,558",Netflix,A,19-09-2021,Upcoming
19,,Horror,2024,5.2,125 min,Director 7,Canada,,$228M,"867,158",Netflix,U/A,26-03-2023,Released
20,Interstellar,Thriller,2024,8.5,111 min,Director 9,UK,,$39M,"327,204",Amazon Prime,A,10-04-2021,Released
21,Frozen,Comedy,2024,8.1,131 min,Director 22,india,English,$153M,"371,039",Netflix,PG-13,12-12-2022,Upcoming
22,Jawan,Romance,2018,5.0,148 min,Director 22,Canada,english,$189M,"779,868",Netflix,A,17-05-2025,Upcoming
23,KGF,Drama,2019,9.5,166 min,Director 24,UK,Spanish,$227M,"100,311",Amazon Prime,U/A,14-10-2024,Upcoming
24,Moana,Acton,2021,9.6,174 min,Director 6,USA,english,$191M,"869,240",Disney+ Hotstar,A,08-04-2021,Released
25,Inception,Comedy,2021,8.0,104 min,Director 23, usa ,HINDI,$95M,"105,914",Netflix,PG-13,08-03-2025,Upcoming
26,Inception,Comedy,2021,7.2,147 min,Director 18,india,HINDI,$278M,"661,456",Netflix,PG-13,15-05-2021,Upcoming
27,Joker,Comedy,2023,6.3,120 min,Director 18,USA,Hindi,$216M,"823,219",Netflix,PG-13,14-06-2024,Upcoming
28,,Thriller,2021,7.8,169 min,Director 1, usa ,HINDI,,"871,399",Amazon Prime,U/A,16-04-2022,Upcoming
29,,Horror,2023,6.9,101 min,Director 15,UK,Spanish,$221M,"778,027",Netflix,PG-13,05-08-2021,Released
30,RRR,Horror,2020,6.8,176 min,Director 14,Japan,English,$296M,,Amazon Prime,U/A,21-02-2025,Released
31, Avatar ,Action,2022,5.6,165 min,Director 4,Canada,HINDI,$208M,"721,986",Disney+ Hotstar,U,25-03-2022,Released
32,Avatar,Thriller,2021,6.0,155 min,Director 23,Canada,English,$174M,"714,824",Netflix,U,12-09-2023,Upcoming
33,Titanic,Thriller,2024,7.1,126 min,Director 21,,,$110M,"766,276",Disney+ Hotstar,PG-13,15-07-2025,Upcoming
34,KGF,Comedy,2020,6.2,139 min,Director 19, usa ,english,,"286,499",Netflix,A,26-05-2022,Upcoming
35,RRR,Sci-Fi,2018,7.0,151 min,Director 25,Canada,,$271M,"117,095",Amazon Prime,U/A,13-12-2021,Upcoming
36,Dangal,Thriller,2023,6.7,138 min,Director 9,Japan,english,$118M,"860,548",Disney+ Hotstar,U/A,07-04-2025,Upcoming
37,RRR,Acton,2022,5.5,104 min,Director 10,Canada,english,$27M,"229,280",Netflix,U,18-05-2025,Released
38, Joker ,Romance,2021,6.6,86 min,Director 9,,English,$225M,"690,644",Disney+ Hotstar,U,05-03-2024,Upcoming
39, Titanic ,Thriller,2022,8.0,179 min,Director 17, usa ,HINDI,$172M,"539,312",Disney+ Hotstar,U,20-12-2020,Released
40, Frozen ,Sci-Fi,2019,5.8,132 min,Director 15,,english,,"389,719",Amazon Prime,U,22-04-2022,Released
41,Coco,Drama,2020,5.3,101 min,Director 10,Japan,HINDI,$175M,"378,512",Disney+ Hotstar,PG-13,15-02-2024,Released
42,Coco,Action,2018,8.2,153 min,Director 19,India,,$40M,"279,481",Disney+ Hotstar,PG-13,09-03-2024,Upcoming
43,Joker,Thriller,2020,5.5,100 min,Director 11, usa ,,$225M,"663,037",Amazon Prime,U,11-05-2022,Released
44,Bahubali,Action,2023,7.2,86 min,Director 7,india,Spanish,$246M,"308,273",Disney+ Hotstar,U/A,10-08-2025,Upcoming
45,,Romnce,2022,8.4,119 min,Director 18,India,Spanish,$135M,"216,472",Netflix,U/A,16-12-2022,Upcoming
46,Coco,Sci-Fi,2021,6.8,156 min,Director 17,UK,English,$232M,"906,519",Amazon Prime,U,10-12-2022,Upcoming
